Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2010,ALDINE INDEPENDENT SCHOOL DISTRIC,0,0,1,0,61,,,,
2010,BRIGHT STAR RESTAURANT,1,0,0,0,72,,AL,BESSEMER,35020.0
2010,ARICK RYNEARSON AND KATYA,0,1,0,0,99,,AL,FAIRHOPE,36533.0
2010,CALDWELL CHRISTIAN ACADEMY INC,1,0,0,0,61,,AR,CALDWELL,72322.0
2010,NAVSTAR TECHNOLOGY INC,0,1,0,0,72,,CA,ANAHEIM,92805.0
2010,SAVE ON FUNDING MORTGAGE CORP,0,1,0,0,52,,CA,BEVERLY HILLS,90210.0
2010,MINKING USA INC,0,0,1,0,33,,CA,CITY OF INDUSTRY,91746.0
2010,ASSOCIATED STAFFING RESOURCES,0,0,0,1,62,,CA,CULVER CITY,90230.0
2010,ASIA ENTERTAINMENT INC,1,0,0,0,51,,CA,GARDEN GROVE,92843.0
2010,PACIFIC COAST KNITTING INC,1,0,0,0,31,,CA,HUNTINGTON PARK,90255.0
2010,APEX EDUCTIONAL SERVICES INC,0,1,1,0,54,,CA,IRVINE,92614.0
2010,FIVE STAR QUALITY CARE CA LLC DBA,0,1,0,0,62,,CA,LANCASTER,93534.0
2010,ACE SIGN & DESIGN,0,1,0,0,33,,CA,LOS ANGELES,90006.0
2010,ETO DOORS CORP,0,1,0,0,99,,CA,LOS ANGELES,90010.0
2010,PLANETWIDE GAMES INC DBA MASHON,1,0,1,0,54,,CA,LOS ANGELES,90064.0
2010,EMERALD HEALTH SERVICES,0,0,1,0,54,,CA,MARINA DEL REY,90292.0
2010,DOSA PLACE INTERNATIONAL INC,0,1,0,0,72,,CA,MISSION VIEJO,92691.0
2010,SUNLIFE PHYSICAL THERAPY & REHAB S,0,1,0,0,62,,CA,NATIONAL CITY,91950.0
2010,DLI DEFENSE LANGUAGE INSTITUTE FAC,0,0,1,0,61,,CA,PACIFIC GROVE,93950.0
2010,MERIDIAN ACUPUNCTURE & HERBS CLINI,0,0,1,0,62,,CA,REDONDO BEACH,90278.0
2010,C OVERAA & CO,0,0,1,0,54,,CA,RICHMOND,94801.0
2010,SAE SAENGMYUNG MISSION CHURCH,1,0,0,0,81,,CA,SAN DIEGO,92111.0
2010,PEACE AND HLTH ORGANIZATION,0,1,0,0,99,,CA,SAN DIEGO,92131.0
2010,ZEUM,1,0,0,0,71,,CA,SAN FRANCISCO,94103.0
2010,EVENTBRITE LLC,1,0,0,0,99,,CA,SAN FRANCISCO,94107.0
2010,CENTURY WEST CONSTRUCTION INC,0,1,0,0,99,,CA,SANTA CLARITA,91355.0
2010,SPP PROCESS TECHNOLOGIES SYSTEMS I,0,0,1,0,33,,CA,SCOTTS VALLEY,95066.0
2010,RICCHIO DESIGN,0,0,1,0,54,,CA,SEAL BEACH,90740.0
