Fiscal Year,Employer,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial,NAICS,Tax ID,State,City,ZIP
2023,,1,0,0,0,51,8070.0,DE,WILMINGTON,19801.0
2023,0965688 BC LTD DBA PROCOGIA,0,0,1,0,51,209.0,WA,SEATTLE,98101.0
2023,1 800 CONTACTS INC,0,0,1,0,42,1643.0,,,
2023,1 800 CONTACTS INC,0,0,1,0,42,1643.0,UT,DRAPER,84020.0
2023,1 800 FLOWERS COM INC,0,0,2,0,45,7311.0,NY,JERICHO,11753.0
2023,1 BETHESDA DRIVE OPERATING COMPANY LLC DBA ELDERWOOD AT HORNELL,0,0,1,0,62,5614.0,NY,HORNELL,14843.0
2023,101 SMOKE SHOP 3 LLC,1,0,0,0,45,3465.0,FL,GAINESVILLE,32606.0
2023,1010DATA SERVICES LLC DBA 1010DATA,0,0,2,0,54,8507.0,NY,NEW YORK,10016.0
2023,1028 MICROPATENT,0,0,1,0,51,8616.0,AZ,CHANDLER,85226.0
2023,108 INFO SYSTEM LLC,0,0,1,0,54,7012.0,VA,RESTON,20190.0
2023,10BITS LLC,1,0,9,0,54,5441.0,TX,IRVING,75063.0
2023,10X GENOMICS INC,0,0,4,1,54,4458.0,CA,PLEASANTON,94588.0
2023,10X GENOMICS INC,0,0,1,0,54,4458.0,CA,PLEASANTON,94588.0
2023,10X HEALTH VENTURES,0,0,0,1,52,3927.0,WA,VANCOUVER,98684.0
2023,110 HOLDINGS DBA AS LAUNCH CONSULTING,1,0,1,0,54,9516.0,WA,BELLEVUE,98005.0
2023,1211 WPR MEDICAL SERVICES PC,0,0,1,0,62,9346.0,NY,BRONX,10472.0
2023,12TH WONDER LLC,0,0,3,0,54,2548.0,CA,PLEASANTON,94588.0
2023,13 RATTLES INC,0,0,1,0,42,721.0,NY,NEW YORK,10013.0
2023,14 WEST ADMINISTRATIVE SERVICES LLC,0,0,1,1,51,5681.0,MD,BALTIMORE,21201.0
2023,15FIVE INC,0,0,1,0,54,2755.0,NC,RALEIGH,27609.0
2023,161 DEV INC,2,0,0,0,54,309.0,NJ,BRIDGEWATER,8807.0
2023,161 ST PHARMA INC DBA 161 ST PHARMACY SURGICAL SUPPLIES,0,0,1,0,44,125.0,NY,BRONX,10451.0
2023,1661 INC D B A GOAT,0,0,1,0,45,1406.0,,,
2023,1661 INC D B A GOAT,0,0,5,0,45,1406.0,CA,LOS ANGELES,90018.0
2023,168 TRADING US FUND LP,0,0,1,0,52,3776.0,DE,WILMINGTON,19801.0
2023,18 MAIN MANAGEMENT LLC,0,0,1,0,52,3834.0,NY,NEW YORK,10022.0
2023,19 VARNUM STREET OPERATING COMPANY LLC D/B/A CAREONE AT LOWELL,0,0,1,0,62,1991.0,MA,LOWELL,1850.0
2023,19SIX ARCHITECTS,0,0,1,0,54,,CA,SAN LUIS OBISPO,93401.0
2023,1LIFE HEALTHCARE INC,1,0,1,0,62,7204.0,CA,SAN FRANCISCO,94111.0
2023,1NTEGER LLC D/B/A KHARON,0,0,1,0,51,6378.0,CA,SANTA MONICA,90403.0
2023,1POINT3ACRES LLC,0,0,1,0,54,301.0,NV,LAS VEGAS,89102.0
2023,1POINT3ACRES LLC,0,0,1,0,51,301.0,WA,BELLEVUE,98005.0
2023,1RIVET INTERNATIONAL,0,0,1,0,45,4925.0,VA,RESTON,20191.0
2023,1ST AMERICARE LLC,0,1,0,0,62,9989.0,VA,STERLING,20166.0
2023,1ST BANK CARD SERVICES INC,0,0,1,0,52,9475.0,IL,CHICAGO,60659.0
2023,1ST RANKING TECHNOLOGIES,3,0,0,0,54,3403.0,TX,LEWISVILLE,75067.0
2023,1ST STREET FOUNDATION INC,0,0,1,0,54,8701.0,NY,BROOKLYN,11201.0
2023,1UPHEALTH INC,0,0,1,0,54,1133.0,MA,BOSTON,2210.0
2023,20 20 FINANCIAL CONSULTING INC DBA 20 20 TAX RESOLUTION INC,0,0,1,0,52,9593.0,CO,BROOMFIELD,80021.0
2023,200 TRIBECA RESTAURANT LLC DBA MAR,1,0,0,0,72,2046.0,NY,NEW YORK,10013.0
2023,2046 BHAG LLC,1,0,0,0,72,8031.0,TX,DALLAS,75204.0
2023,21 STAFF LLC,0,0,3,0,54,3144.0,CA,PLEASANTON,94588.0
2023,21ST CENTURY HOME HEALTH SERVICES INC,0,0,2,0,62,4981.0,CA,BURLINGAME,94010.0
2023,"22 MILES DIGITAL SIGNAGE, INC",1,0,0,0,54,6697.0,GA,NORCROSS,30092.0
2023,22ND CENTURY TECHNOLOGIES INC,0,0,1,0,54,2121.0,,,
2023,22ND CENTURY TECHNOLOGIES INC,0,0,6,0,54,2121.0,VA,MC LEAN,22102.0
2023,22ND CENTURY TECHNOLOGIES INC,0,0,1,0,54,2121.0,VA,MCLEAN,22102.0
2023,23ANDME INC,0,0,5,0,62,7371.0,CA,SUNNYVALE,94086.0
2023,24 7 AI INC,0,0,2,0,54,9939.0,CA,CAMPBELL,95008.0
2023,24 ON PHYSICIANS PC,0,0,2,0,62,9828.0,GA,ALPHARETTA,30004.0
2023,2401FOREVER LLC,0,0,1,0,45,5512.0,CA,CUPERTINO,95014.0
2023,247JOBHUNT INC,1,0,0,0,54,1766.0,MI,LIVONIA,48152.0
2023,24M TECHNOLOGIES INC,0,0,1,0,54,7875.0,MA,CAMBRIDGE,2139.0
2023,24X US HOLDINGS LLC,0,0,1,0,52,6322.0,FL,MIAMI,33134.0
2023,24X7 ESI INC,0,0,1,0,54,8324.0,NY,NEW YORK,10014.0
2023,24X7SYSTEMS INC,0,0,1,0,54,5663.0,GA,ALPHARETTA,30004.0
2023,27 VIRTUAL CONSULTING LLC,0,0,1,0,54,8133.0,FL,TAMPA,33629.0
